StoryID,TITLE,AUTHOR,YEAR,words_count
P261,Болотников. Каравай на столе,Панова Вера Фёдоровна,1969,2540
P221,Уха без соли,Воробьёв Константин Дмитриевич,1968,2777
S731,Расстрел,Гнедич Петр Петрович,1918,2821
S660,Пьяная ночь,Тан-Богораз Владимир Германович,1910,3082
S091,Ягоды,Толстой Лев Николаевич,1905,3201
P253,После инфаркта,Залыгин Сергей Павлович,1999,6568
Р632,Блестящий лектор ,Гартунг Леонид,1992,866
170,В будний день,Москвин Ник.,1945,1138
P145,Последняя ночь,Каверин Вениамин Александрович ,1957,1240
S718,Поговорили,Рейснер Екатерина Александровна (М. А. Рейснер),1915,1381
Р639,Галатея,Грай Татьяна ,1989,1461
159,Доктор,Макаренко Антон Семёнович,1938,1590
Р447,Учительница,Недосекин Роальд Константинович,1952,1661
Р427,Принцип Циммермана,Рапопорт Виталий,1988,1824
Р558,Свое место,Боде Вероника,1998,1891
46,Хочется жить,Воробьёв Евгений,1944,2038
127,Октябрь в деревне,Коровин Константин Алексеевич,1931,2107
P33,Молодая хозяйка,Ажаев Василий Николаевич,1947,2263
Р621,Летят утки,Коноплин Николай Тихонович,1953,2350
S397,Жемчужное ожерелье,Крачковский Дмитрий Иосифович,1912,2471
P231,Чудик,Шукшин Василий Макарович,1967,2550
P98,Поющие девушки,Богданов Николай Владимирович,1934,2710
P96,Первая победа,Монастырев Владимир,1955,2831
205,Тимофей,Проханов Александр Андреевич,1964,3011
Р407,Телепатический полёт,Мирнев Владимир Никонорович ,1984,3318
P178,Августовский день,Кузнецов Анатолий,1960,5594
S498,Постройка,Чапыгин Алексей Павлович,1919,3154
Р645,Долгая короткая жизнь,Сульдин Андрей,1990,1057
211,Нос,Романов Пантелеймон Сергеевич,1933,1074
S511,Молодежь горит,Шубин Алексей Иванович,1924,1279
77,Проспорил,Дорофеев Николай Васильевич,1937,1347
Р21,Попутчицы,Шевченко Михаил Петрович,1955,1492
S802,На крыше,Металлов М. (Левин Яков Михайлович ),1926,1715
S268,Дождь без ветра,Минин Евлампий Андреевич,1925,1770
58,Деревенские новости,Голубков Михаил,1968,1977
S072,Ракета,Рославлев Александр Степанович,1913,2159
Р577,"Романтик Китоусов, академик Великий-Салазкин и таинственная Маргарита",Аксенов Василий ,1973,2197
S610,В боевом огне,Любич-Кошуров Иоасаф Арианович,1904,2379
S613,Ангел хранитель,Михеев Василий Михайлович,1907,2417
P37,Как я устраивала свою дочь,Залыгин Сергей Павлович,1956,2617
S008,Капли,Балтрушайтис Юргис Казимирович,1901,2651
S117,Деньги,Гарин Сергей Александрович,1917,2851
P291,Дорога,Гроссман Василий Семёнович,1962,2902
Р378,Нервы шалят...,Селянкин Олег Константинович,1990,3837
P230,Женский разговор,Распутин Валентин Григорьевич ,1994,4194
S154,Последний из буржуев,Куприн Александр Иванович,1919,1244
